date,district,magnitude,depth_km,seismic_activity,earthquake
2024-07-21,Madurai,2.1,127,90,0
2024-07-24,Madurai,2.8,287,1,0
2024-07-27,Madurai,4.8,52,28,0
2024-07-30,Madurai,7.0,63,59,0
2024-08-02,Madurai,6.7,83,63,1
2024-08-05,Madurai,6.7,154,65,1
2024-08-08,Madurai,5.5,217,61,1
2024-08-11,Madurai,6.9,129,58,0
2024-08-14,Madurai,4.8,201,24,0
2024-08-17,Madurai,6.6,265,95,1
2024-08-20,Madurai,6.4,40,35,0
2024-08-23,Madurai,5.9,217,43,0
2024-08-26,Madurai,6.7,264,34,0
2024-08-29,Madurai,6.1,149,92,1
2024-09-01,Madurai,3.5,255,19,0
2024-09-04,Madurai,4.2,252,44,0
2024-09-07,Madurai,3.7,283,48,0
2024-09-10,Madurai,4.3,169,24,0
2024-09-13,Madurai,6.9,127,73,1
2024-09-16,Madurai,3.9,215,5,0
2024-09-19,Madurai,3.6,247,90,0
2024-09-22,Madurai,6.6,200,49,0
2024-09-25,Madurai,6.9,82,63,1
2024-09-28,Madurai,6.8,69,64,1
2024-10-01,Madurai,6.8,174,12,0
2024-10-04,Madurai,6.4,230,12,0
2024-10-07,Madurai,4.6,238,1,0
2024-10-10,Madurai,5.6,214,83,1
2024-10-13,Madurai,6.8,43,60,1
2024-10-16,Madurai,5.9,140,43,0
2024-10-19,Madurai,5.1,208,83,1
2024-10-22,Madurai,2.4,173,86,0
2024-10-25,Madurai,6.3,199,40,0
2024-10-28,Madurai,5.1,254,69,1
2024-10-31,Madurai,2.2,40,30,0
2024-11-03,Madurai,5.2,152,29,0
2024-11-06,Madurai,5.7,227,12,0
2024-11-09,Madurai,5.8,56,56,0
2024-11-12,Madurai,2.8,158,3,0
2024-11-15,Madurai,2.2,33,37,0
2024-11-18,Madurai,3.8,225,18,0
2024-11-21,Madurai,3.2,215,72,0
2024-11-24,Madurai,5.4,97,21,0
2024-11-27,Madurai,2.9,200,79,0
2024-11-30,Madurai,5.4,259,74,1
2024-12-03,Madurai,2.7,241,81,0
2024-12-06,Madurai,3.3,135,85,0
2024-12-09,Madurai,2.0,243,36,0
2024-12-12,Madurai,5.4,85,9,0
2024-12-15,Madurai,4.2,181,75,0
2024-12-18,Madurai,3.5,222,88,0
2024-12-21,Madurai,3.3,159,25,0
2024-12-24,Madurai,7.0,252,13,0
2024-12-27,Madurai,3.2,297,45,0
2024-12-30,Madurai,4.9,156,2,0
2024-01-01,Tiruchirappalli,6.9,207,35,0
2024-01-04,Tiruchirappalli,2.0,30,77,0
2024-01-07,Tiruchirappalli,5.7,151,99,1
2024-01-10,Tiruchirappalli,6.0,185,28,0
2024-01-13,Tiruchirappalli,5.2,133,86,1
2024-01-16,Tiruchirappalli,5.8,75,80,1
2024-01-19,Tiruchirappalli,2.5,25,39,0
2024-01-22,Tiruchirappalli,5.9,22,74,1
2024-01-25,Tiruchirappalli,3.8,72,11,0
2024-01-28,Tiruchirappalli,6.5,172,95,1
2024-01-31,Tiruchirappalli,4.1,107,16,0
2024-02-03,Tiruchirappalli,5.9,192,67,1
2024-02-06,Tiruchirappalli,4.5,144,21,0
2024-02-09,Tiruchirappalli,3.3,251,37,0
2024-02-12,Tiruchirappalli,5.7,178,14,0
2024-02-15,Tiruchirappalli,4.3,43,18,0
2024-02-18,Tiruchirappalli,5.8,120,86,1
2024-02-21,Tiruchirappalli,5.6,208,71,1
2024-02-24,Tiruchirappalli,3.8,207,1,0
2024-02-27,Tiruchirappalli,3.3,68,58,0
2024-03-02,Tiruchirappalli,3.8,139,74,0
2024-03-05,Tiruchirappalli,3.9,195,13,0
2024-03-08,Tiruchirappalli,5.4,246,3,0
2024-03-11,Tiruchirappalli,5.1,292,41,0
2024-03-14,Tiruchirappalli,6.6,118,82,1
2024-03-17,Tiruchirappalli,2.3,242,89,0
2024-03-20,Tiruchirappalli,3.5,214,14,0
2024-03-23,Tiruchirappalli,2.7,24,38,0
2024-03-26,Tiruchirappalli,7.0,64,12,0
2024-03-29,Tiruchirappalli,3.2,280,17,0
2024-04-01,Tiruchirappalli,3.9,194,85,0
2024-04-04,Tiruchirappalli,6.7,281,53,0
2024-04-07,Tiruchirappalli,4.9,84,53,0
2024-04-10,Tiruchirappalli,5.3,255,78,1
2024-04-13,Tiruchirappalli,4.0,148,4,0
2024-04-16,Tiruchirappalli,5.5,116,56,0
2024-04-19,Tiruchirappalli,4.2,125,46,0
2024-04-22,Tiruchirappalli,2.5,193,69,0
2024-04-25,Tiruchirappalli,6.5,188,7,0
2024-04-28,Tiruchirappalli,4.0,102,15,0
2024-05-01,Tiruchirappalli,6.7,237,11,0
2024-05-04,Tiruchirappalli,5.3,15,6,0
2024-05-07,Tiruchirappalli,5.9,129,16,0
2024-05-10,Tiruchirappalli,5.9,110,8,0
2024-05-13,Tiruchirappalli,6.1,288,26,0
2024-05-16,Tiruchirappalli,4.9,124,42,0
2024-05-19,Tiruchirappalli,5.9,6,35,0
2024-05-22,Tiruchirappalli,6.3,79,16,0
2024-05-25,Tiruchirappalli,4.7,94,14,0
2024-05-28,Tiruchirappalli,5.3,18,16,0
2024-05-31,Tiruchirappalli,2.1,126,75,0
2024-06-03,Tiruchirappalli,3.6,94,33,0
2024-06-06,Tiruchirappalli,2.3,220,67,0
2024-06-09,Tiruchirappalli,2.6,37,60,0
2024-06-12,Tiruchirappalli,4.2,190,65,0
2024-06-15,Tiruchirappalli,5.0,236,64,1
2024-06-18,Tiruchirappalli,3.1,27,93,0
2024-06-21,Tiruchirappalli,5.9,271,38,0
2024-06-24,Tiruchirappalli,4.3,20,7,0
2024-06-27,Tiruchirappalli,7.0,210,54,0
2024-06-30,Tiruchirappalli,5.4,256,91,1
2024-07-03,Tiruchirappalli,6.5,42,10,0
2024-07-06,Tiruchirappalli,3.6,80,8,0
2024-07-09,Tiruchirappalli,2.6,285,91,0
2024-07-12,Tiruchirappalli,3.6,276,37,0
2024-07-15,Tiruchirappalli,4.3,225,12,0
2024-07-18,Tiruchirappalli,6.0,63,83,1
2024-07-21,Tiruchirappalli,5.3,287,92,1
2024-07-24,Tiruchirappalli,6.3,225,57,0
2024-07-27,Tiruchirappalli,6.4,216,43,0
2024-07-30,Tiruchirappalli,6.1,209,53,0
2024-08-02,Tiruchirappalli,5.6,165,54,0
2024-08-05,Tiruchirappalli,3.6,135,47,0
2024-08-08,Tiruchirappalli,6.8,247,8,0
2024-08-11,Tiruchirappalli,2.5,48,11,0
2024-08-14,Tiruchirappalli,4.2,195,16,0
2024-08-17,Tiruchirappalli,4.8,292,71,0
2024-08-20,Tiruchirappalli,3.6,67,52,0
2024-08-23,Tiruchirappalli,3.8,221,92,0
2024-08-26,Tiruchirappalli,2.3,152,76,0
2024-08-29,Tiruchirappalli,3.6,58,73,0
2024-09-01,Tiruchirappalli,4.5,84,84,0
2024-09-04,Tiruchirappalli,4.4,60,44,0
2024-09-07,Tiruchirappalli,6.2,193,14,0
2024-09-10,Tiruchirappalli,5.8,298,28,0
2024-09-13,Tiruchirappalli,6.0,292,98,1
2024-09-16,Tiruchirappalli,6.1,290,3,0
2024-09-19,Tiruchirappalli,5.0,141,3,0
2024-09-22,Tiruchirappalli,2.9,163,43,0
2024-09-25,Tiruchirappalli,3.8,97,18,0
2024-09-28,Tiruchirappalli,4.8,210,8,0
2024-10-01,Tiruchirappalli,2.7,20,11,0
2024-10-04,Tiruchirappalli,5.7,115,48,0
2024-10-07,Tiruchirappalli,4.1,179,20,0
2024-10-10,Tiruchirappalli,3.9,171,99,0
2024-10-13,Tiruchirappalli,6.7,48,6,0
2024-10-16,Tiruchirappalli,2.8,30,86,0
2024-10-19,Tiruchirappalli,2.4,231,84,0
2024-10-22,Tiruchirappalli,4.1,231,53,0
2024-10-25,Tiruchirappalli,3.4,267,14,0
2024-10-28,Tiruchirappalli,3.7,61,36,0
2024-10-31,Tiruchirappalli,5.4,254,67,1
2024-11-03,Tiruchirappalli,5.3,28,28,0
2024-11-06,Tiruchirappalli,4.0,33,0,0
2024-11-09,Tiruchirappalli,3.0,113,98,0
2024-11-12,Tiruchirappalli,2.7,135,37,0
2024-11-15,Tiruchirappalli,3.6,8,63,0
2024-11-18,Tiruchirappalli,5.7,94,16,0
2024-11-21,Tiruchirappalli,3.9,122,64,0
2024-11-24,Tiruchirappalli,4.8,186,9,0
2024-11-27,Tiruchirappalli,4.0,26,55,0
2024-11-30,Tiruchirappalli,2.1,44,40,0
2024-12-03,Tiruchirappalli,4.9,298,51,0
2024-12-06,Tiruchirappalli,5.5,218,37,0
2024-12-09,Tiruchirappalli,2.6,15,41,0
2024-12-12,Tiruchirappalli,2.9,240,88,0
2024-12-15,Tiruchirappalli,6.6,50,55,0
2024-12-18,Tiruchirappalli,6.2,129,55,0
2024-12-21,Tiruchirappalli,4.9,273,10,0
2024-12-24,Tiruchirappalli,4.0,163,95,0
2024-12-27,Tiruchirappalli,3.7,175,99,0
2024-12-30,Tiruchirappalli,2.8,266,81,0
2024-01-01,Salem,2.6,266,24,0
2024-01-04,Salem,6.5,183,44,0
2024-01-07,Salem,5.6,80,30,0
2024-01-10,Salem,2.5,136,25,0
2024-01-13,Salem,2.9,83,97,0
2024-01-16,Salem,5.8,43,22,0
2024-01-19,Salem,6.8,257,59,0
2024-01-22,Salem,5.8,234,87,1
2024-01-25,Salem,6.6,294,82,1
2024-01-28,Salem,5.2,170,80,1
2024-01-31,Salem,3.6,230,8,0
2024-02-03,Salem,4.3,160,35,0
2024-02-06,Salem,5.0,185,64,1
2024-02-09,Salem,2.4,241,57,0
2024-02-12,Salem,2.2,193,36,0
2024-02-15,Salem,2.4,51,78,0
2024-02-18,Salem,5.0,201,59,0
2024-02-21,Salem,4.9,26,57,0
2024-02-24,Salem,6.5,297,83,1
2024-02-27,Salem,2.9,248,64,0
2024-03-02,Salem,2.8,36,57,0
2024-03-05,Salem,2.5,180,91,0
2024-03-08,Salem,2.4,93,5,0
2024-03-11,Salem,3.2,229,56,0
2024-03-14,Salem,4.6,86,46,0
2024-03-17,Salem,3.9,149,49,0
2024-03-20,Salem,4.0,178,86,0
2024-03-23,Salem,5.0,176,8,0
2024-03-26,Salem,3.6,290,86,0
2024-03-29,Salem,3.9,134,92,0
2024-04-01,Salem,6.3,81,42,0
2024-04-04,Salem,2.4,77,44,0
2024-04-07,Salem,3.6,205,16,0
2024-04-10,Salem,5.0,48,39,0
2024-04-13,Salem,4.8,173,16,0
2024-04-16,Salem,5.4,274,11,0
2024-04-19,Salem,5.2,221,65,1
2024-04-22,Salem,3.8,190,39,0
2024-04-25,Salem,2.9,114,43,0
2024-04-28,Salem,6.7,253,24,0
2024-05-01,Salem,3.1,75,19,0
2024-05-04,Salem,2.4,56,64,0
2024-05-07,Salem,5.9,274,4,0
2024-05-10,Salem,5.3,72,76,1
2024-05-13,Salem,3.9,88,23,0
2024-05-16,Salem,6.2,89,92,1
2024-05-19,Salem,4.2,215,46,0
2024-05-22,Salem,5.4,126,56,0
2024-05-25,Salem,5.1,234,29,0
2024-05-28,Salem,4.7,163,100,0
2024-05-31,Salem,4.3,104,47,0
2024-06-03,Salem,5.4,297,56,0
2024-06-06,Salem,4.3,149,99,0
2024-06-09,Salem,3.9,275,53,0
2024-06-12,Salem,6.8,107,77,1
2024-06-15,Salem,2.7,133,6,0
2024-06-18,Salem,5.2,195,70,1
2024-06-21,Salem,6.7,269,15,0
2024-06-24,Salem,3.4,87,34,0
2024-06-27,Salem,4.2,267,18,0
2024-06-30,Salem,6.2,51,28,0
2024-07-03,Salem,6.1,183,3,0
2024-07-06,Salem,4.1,207,64,0
2024-07-09,Salem,3.9,202,10,0
2024-07-12,Salem,3.9,19,40,0
2024-07-15,Salem,6.7,176,18,0
2024-07-18,Salem,2.7,151,60,0
2024-07-21,Salem,5.5,76,97,1
2024-07-24,Salem,5.5,234,78,1
2024-07-27,Salem,2.0,45,2,0
2024-07-30,Salem,3.3,81,70,0
2024-08-02,Salem,6.7,275,54,0
2024-08-05,Salem,2.6,152,30,0
2024-08-08,Salem,3.5,29,30,0
2024-08-11,Salem,4.1,239,8,0
2024-08-14,Salem,2.6,260,76,0
2024-08-17,Salem,4.7,268,73,0
2024-08-20,Salem,3.2,78,37,0
2024-08-23,Salem,4.1,185,30,0
2024-08-26,Salem,4.9,100,85,0
2024-08-29,Salem,5.3,273,46,0
2024-09-01,Salem,2.3,274,69,0
2024-09-04,Salem,4.5,264,70,0
2024-09-07,Salem,2.1,245,5,0
2024-09-10,Salem,5.2,196,32,0
2024-09-13,Salem,5.7,187,100,1
2024-09-16,Salem,2.3,128,93,0
2024-09-19,Salem,5.3,58,98,1
2024-09-22,Salem,4.9,175,17,0
2024-09-25,Salem,2.2,284,43,0
2024-09-28,Salem,6.1,94,99,1
2024-10-01,Salem,5.4,250,80,1
2024-10-04,Salem,2.9,74,8,0
2024-10-07,Salem,5.6,239,4,0
2024-10-10,Salem,3.5,27,25,0
2024-10-13,Salem,6.4,166,39,0
2024-10-16,Salem,4.6,283,60,0
2024-10-19,Salem,3.3,102,36,0
2024-10-22,Salem,3.8,29,83,0
2024-10-25,Salem,3.7,68,47,0
2024-10-28,Salem,4.2,209,95,0
2024-10-31,Salem,4.2,202,43,0
2024-11-03,Salem,6.9,259,88,1
2024-11-06,Salem,4.5,270,34,0
2024-11-09,Salem,6.0,222,10,0
2024-11-12,Salem,4.2,97,69,0
2024-11-15,Salem,3.5,57,10,0
2024-11-18,Salem,3.6,156,39,0
2024-11-21,Salem,4.2,223,21,0
2024-11-24,Salem,5.4,184,57,0
2024-11-27,Salem,2.2,185,78,0
2024-11-30,Salem,7.0,145,81,1
