date,district,wind_speed,pressure,humidity,cyclone
2025-08-11,Madurai,135,953,99,1
2025-08-14,Madurai,144,1018,69,0
2025-08-17,Madurai,86,1007,75,0
2025-08-20,Madurai,127,969,99,1
2025-08-23,Madurai,62,974,100,0
2025-08-26,Madurai,90,987,65,0
2025-08-29,Madurai,56,974,82,0
2025-09-01,Madurai,125,952,66,0
2025-09-04,Madurai,43,990,60,0
2025-09-07,Madurai,35,1008,66,0
2025-09-10,Madurai,43,969,74,0
2025-09-13,Madurai,138,973,97,1
2025-09-16,Madurai,141,970,71,0
2025-09-19,Madurai,146,1018,89,0
2025-09-22,Madurai,71,989,92,0
2025-09-25,Madurai,112,953,67,0
2025-09-28,Madurai,155,1010,64,0
2025-10-01,Madurai,90,961,58,0
2025-10-04,Madurai,84,984,94,0
2025-10-07,Madurai,135,998,95,0
2025-10-10,Madurai,121,1001,85,0
2025-10-13,Madurai,151,987,63,0
2025-10-16,Madurai,146,969,75,0
2025-10-19,Madurai,49,978,75,0
2025-10-22,Madurai,122,993,56,0
2025-10-25,Madurai,31,963,84,0
2025-10-28,Madurai,159,1017,93,0
2025-10-31,Madurai,69,958,66,0
2025-11-03,Madurai,127,950,80,0
2025-11-06,Madurai,74,1011,63,0
2025-11-09,Madurai,54,1014,95,0
2025-11-12,Madurai,143,987,64,0
2025-11-15,Madurai,49,993,88,0
2025-11-18,Madurai,50,984,100,0
2025-11-21,Madurai,36,975,75,0
2025-11-24,Madurai,154,958,80,0
2025-11-27,Madurai,31,958,75,0
2025-11-30,Madurai,79,952,61,0
2025-12-03,Madurai,147,993,64,0
2025-12-06,Madurai,61,1008,61,0
2025-12-09,Madurai,135,959,55,0
2025-12-12,Madurai,72,953,87,0
2025-12-15,Madurai,71,988,83,0
2025-12-18,Madurai,123,1016,80,0
2025-12-21,Madurai,157,978,93,1
2025-12-24,Madurai,65,1020,83,0
2025-12-27,Madurai,114,1010,69,0
2025-12-30,Madurai,95,953,80,0
2025-01-01,Tiruchirappalli,43,997,62,0
2025-01-04,Tiruchirappalli,53,964,64,0
2025-01-07,Tiruchirappalli,109,1006,57,0
2025-01-10,Tiruchirappalli,151,991,89,0
2025-01-13,Tiruchirappalli,135,960,99,1
2025-01-16,Tiruchirappalli,99,985,67,0
2025-01-19,Tiruchirappalli,88,1004,59,0
2025-01-22,Tiruchirappalli,34,996,89,0
2025-01-25,Tiruchirappalli,135,1002,91,0
2025-01-28,Tiruchirappalli,98,953,65,0
2025-01-31,Tiruchirappalli,102,967,64,0
2025-02-03,Tiruchirappalli,149,987,61,0
2025-02-06,Tiruchirappalli,154,989,95,0
2025-02-09,Tiruchirappalli,96,1010,60,0
2025-02-12,Tiruchirappalli,154,961,71,0
2025-02-15,Tiruchirappalli,117,1018,88,0
2025-02-18,Tiruchirappalli,120,980,68,0
2025-02-21,Tiruchirappalli,65,1003,78,0
2025-02-24,Tiruchirappalli,48,1007,97,0
2025-02-27,Tiruchirappalli,30,1008,56,0
2025-03-02,Tiruchirappalli,151,974,89,1
2025-03-05,Tiruchirappalli,121,1007,93,0
2025-03-08,Tiruchirappalli,160,1014,63,0
2025-03-11,Tiruchirappalli,119,1003,74,0
2025-03-14,Tiruchirappalli,149,988,82,0
2025-03-17,Tiruchirappalli,44,973,92,0
2025-03-20,Tiruchirappalli,105,1018,57,0
2025-03-23,Tiruchirappalli,139,997,85,0
2025-03-26,Tiruchirappalli,117,1011,74,0
2025-03-29,Tiruchirappalli,44,993,60,0
2025-04-01,Tiruchirappalli,111,980,55,0
2025-04-04,Tiruchirappalli,55,979,82,0
2025-04-07,Tiruchirappalli,70,957,68,0
2025-04-10,Tiruchirappalli,134,1007,93,0
2025-04-13,Tiruchirappalli,66,951,99,0
2025-04-16,Tiruchirappalli,102,968,57,0
2025-04-19,Tiruchirappalli,112,1016,100,0
2025-04-22,Tiruchirappalli,71,1007,74,0
2025-04-25,Tiruchirappalli,101,1009,71,0
2025-04-28,Tiruchirappalli,138,954,59,0
2025-05-01,Tiruchirappalli,138,969,68,0
2025-05-04,Tiruchirappalli,42,1004,63,0
2025-05-07,Tiruchirappalli,55,999,75,0
2025-05-10,Tiruchirappalli,31,1011,65,0
2025-05-13,Tiruchirappalli,94,1017,64,0
2025-05-16,Tiruchirappalli,75,998,66,0
2025-05-19,Tiruchirappalli,60,959,67,0
2025-05-22,Tiruchirappalli,127,1004,82,0
2025-05-25,Tiruchirappalli,113,1008,55,0
2025-05-28,Tiruchirappalli,114,1016,76,0
2025-05-31,Tiruchirappalli,98,1020,60,0
2025-06-03,Tiruchirappalli,97,1007,90,0
2025-06-06,Tiruchirappalli,91,983,70,0
2025-06-09,Tiruchirappalli,140,973,59,0
2025-06-12,Tiruchirappalli,30,958,66,0
2025-06-15,Tiruchirappalli,46,954,90,0
2025-06-18,Tiruchirappalli,123,951,94,1
2025-06-21,Tiruchirappalli,157,991,88,0
2025-06-24,Tiruchirappalli,120,988,95,0
2025-06-27,Tiruchirappalli,156,958,71,0
2025-06-30,Tiruchirappalli,83,986,88,0
2025-07-03,Tiruchirappalli,142,1000,89,0
2025-07-06,Tiruchirappalli,144,1004,99,0
2025-07-09,Tiruchirappalli,155,994,95,0
2025-07-12,Tiruchirappalli,69,956,96,0
2025-07-15,Tiruchirappalli,102,1017,93,0
2025-07-18,Tiruchirappalli,36,954,96,0
2025-07-21,Tiruchirappalli,61,1014,76,0
2025-07-24,Tiruchirappalli,116,970,69,0
2025-07-27,Tiruchirappalli,49,984,77,0
2025-07-30,Tiruchirappalli,135,972,65,0
2025-08-02,Tiruchirappalli,106,1007,70,0
2025-08-05,Tiruchirappalli,138,975,76,0
2025-08-08,Tiruchirappalli,73,950,57,0
2025-08-11,Tiruchirappalli,76,972,74,0
2025-08-14,Tiruchirappalli,121,960,83,0
2025-08-17,Tiruchirappalli,149,955,68,0
2025-08-20,Tiruchirappalli,145,975,60,0
2025-08-23,Tiruchirappalli,139,1016,61,0
2025-08-26,Tiruchirappalli,55,962,60,0
2025-08-29,Tiruchirappalli,125,1001,59,0
2025-09-01,Tiruchirappalli,140,991,81,0
2025-09-04,Tiruchirappalli,150,976,88,1
2025-09-07,Tiruchirappalli,41,985,89,0
2025-09-10,Tiruchirappalli,77,988,99,0
2025-09-13,Tiruchirappalli,160,974,77,0
2025-09-16,Tiruchirappalli,129,981,64,0
2025-09-19,Tiruchirappalli,110,994,94,0
2025-09-22,Tiruchirappalli,56,952,91,0
2025-09-25,Tiruchirappalli,63,987,85,0
2025-09-28,Tiruchirappalli,155,1013,96,0
2025-10-01,Tiruchirappalli,30,953,99,0
2025-10-04,Tiruchirappalli,56,980,96,0
2025-10-07,Tiruchirappalli,85,1008,78,0
2025-10-10,Tiruchirappalli,54,1011,82,0
2025-10-13,Tiruchirappalli,137,981,55,0
2025-10-16,Tiruchirappalli,123,1000,65,0
2025-10-19,Tiruchirappalli,38,957,92,0
2025-10-22,Tiruchirappalli,74,1016,96,0
2025-10-25,Tiruchirappalli,117,958,60,0
2025-10-28,Tiruchirappalli,135,961,93,1
2025-10-31,Tiruchirappalli,134,1005,68,0
2025-11-03,Tiruchirappalli,57,979,95,0
2025-11-06,Tiruchirappalli,99,1011,65,0
2025-11-09,Tiruchirappalli,52,979,62,0
2025-11-12,Tiruchirappalli,123,957,65,0
2025-11-15,Tiruchirappalli,105,957,62,0
2025-11-18,Tiruchirappalli,95,981,57,0
2025-11-21,Tiruchirappalli,89,965,93,0
2025-11-24,Tiruchirappalli,87,1017,82,0
2025-11-27,Tiruchirappalli,148,1005,89,0
2025-11-30,Tiruchirappalli,103,959,92,1
2025-12-03,Tiruchirappalli,132,1017,82,0
2025-12-06,Tiruchirappalli,141,983,85,0
2025-12-09,Tiruchirappalli,152,971,99,1
2025-12-12,Tiruchirappalli,83,1007,92,0
2025-12-15,Tiruchirappalli,152,988,62,0
2025-12-18,Tiruchirappalli,138,993,73,0
2025-12-21,Tiruchirappalli,92,987,60,0
2025-12-24,Tiruchirappalli,92,962,93,0
2025-12-27,Tiruchirappalli,144,984,94,0
2025-12-30,Tiruchirappalli,130,968,90,1
2025-01-01,Salem,53,995,74,0
2025-01-04,Salem,113,1008,79,0
2025-01-07,Salem,93,971,78,0
2025-01-10,Salem,50,993,69,0
2025-01-13,Salem,77,1007,81,0
2025-01-16,Salem,40,988,68,0
2025-01-19,Salem,152,962,98,1
2025-01-22,Salem,96,1020,78,0
2025-01-25,Salem,64,978,83,0
2025-01-28,Salem,75,982,68,0
2025-01-31,Salem,140,976,58,0
2025-02-03,Salem,88,1002,86,0
2025-02-06,Salem,152,973,79,0
2025-02-09,Salem,143,985,55,0
2025-02-12,Salem,40,968,61,0
2025-02-15,Salem,45,986,78,0
2025-02-18,Salem,39,1017,88,0
2025-02-21,Salem,88,1007,68,0
2025-02-24,Salem,160,1012,94,0
2025-02-27,Salem,128,992,69,0
2025-03-02,Salem,140,987,74,0
2025-03-05,Salem,72,955,93,0
2025-03-08,Salem,55,1019,88,0
2025-03-11,Salem,109,1011,63,0
2025-03-14,Salem,111,951,85,0
2025-03-17,Salem,154,985,61,0
2025-03-20,Salem,30,1003,89,0
2025-03-23,Salem,32,950,79,0
2025-03-26,Salem,77,959,86,0
2025-03-29,Salem,73,982,71,0
2025-04-01,Salem,59,960,84,0
2025-04-04,Salem,79,1004,83,0
2025-04-07,Salem,149,1015,78,0
2025-04-10,Salem,114,952,83,0
2025-04-13,Salem,81,967,72,0
2025-04-16,Salem,139,1010,77,0
2025-04-19,Salem,114,964,67,0
2025-04-22,Salem,82,970,78,0
2025-04-25,Salem,138,991,87,0
2025-04-28,Salem,35,1019,77,0
2025-05-01,Salem,106,981,70,0
2025-05-04,Salem,33,1005,58,0
2025-05-07,Salem,96,996,89,0
2025-05-10,Salem,93,984,81,0
2025-05-13,Salem,44,1016,63,0
2025-05-16,Salem,38,978,72,0
2025-05-19,Salem,30,963,98,0
2025-05-22,Salem,154,971,77,0
2025-05-25,Salem,113,961,61,0
2025-05-28,Salem,89,957,91,0
2025-05-31,Salem,107,978,57,0
2025-06-03,Salem,140,1015,99,0
2025-06-06,Salem,127,992,91,0
2025-06-09,Salem,95,995,88,0
2025-06-12,Salem,132,975,94,1
2025-06-15,Salem,137,969,73,0
2025-06-18,Salem,144,981,67,0
2025-06-21,Salem,140,970,72,0
2025-06-24,Salem,76,962,67,0
2025-06-27,Salem,88,954,69,0
2025-06-30,Salem,93,1000,84,0
2025-07-03,Salem,55,995,78,0
2025-07-06,Salem,84,957,100,0
2025-07-09,Salem,122,997,95,0
2025-07-12,Salem,144,972,62,0
2025-07-15,Salem,47,1002,74,0
2025-07-18,Salem,97,1020,69,0
2025-07-21,Salem,38,951,69,0
2025-07-24,Salem,104,975,87,1
2025-07-27,Salem,122,983,100,0
2025-07-30,Salem,151,963,86,1
2025-08-02,Salem,82,952,100,0
2025-08-05,Salem,47,990,100,0
2025-08-08,Salem,119,993,95,0
2025-08-11,Salem,98,978,64,0
2025-08-14,Salem,154,970,76,0
2025-08-17,Salem,128,965,56,0
2025-08-20,Salem,60,959,63,0
2025-08-23,Salem,117,1003,86,0
2025-08-26,Salem,38,988,94,0
2025-08-29,Salem,111,1004,100,0
2025-09-01,Salem,160,989,99,0
2025-09-04,Salem,153,953,90,1
2025-09-07,Salem,144,986,67,0
2025-09-10,Salem,113,1012,73,0
2025-09-13,Salem,149,958,81,0
2025-09-16,Salem,53,1007,62,0
2025-09-19,Salem,76,963,70,0
2025-09-22,Salem,66,960,75,0
2025-09-25,Salem,61,955,87,0
2025-09-28,Salem,64,971,59,0
2025-10-01,Salem,112,998,63,0
2025-10-04,Salem,125,1010,89,0
2025-10-07,Salem,35,997,96,0
2025-10-10,Salem,121,955,60,0
2025-10-13,Salem,77,1007,95,0
2025-10-16,Salem,143,980,96,0
2025-10-19,Salem,46,1002,57,0
2025-10-22,Salem,98,979,99,0
2025-10-25,Salem,71,969,83,0
2025-10-28,Salem,101,973,60,0
2025-10-31,Salem,129,1004,81,0
2025-11-03,Salem,79,953,92,0
2025-11-06,Salem,155,1011,89,0
2025-11-09,Salem,62,953,61,0
2025-11-12,Salem,77,996,58,0
2025-11-15,Salem,69,1002,67,0
2025-11-18,Salem,103,1012,58,0
2025-11-21,Salem,57,965,79,0
2025-11-24,Salem,39,975,76,0
2025-11-27,Salem,127,968,72,0
2025-11-30,Salem,140,985,79,0
2025-12-03,Salem,69,981,98,0
2025-12-06,Salem,148,984,91,0
2025-12-09,Salem,141,981,63,0
2025-12-12,Salem,72,975,59,0
2025-12-15,Salem,99,1000,80,0
2025-12-18,Salem,79,972,69,0
2025-12-21,Salem,88,1004,77,0
2025-12-24,Salem,146,1009,70,0
2025-12-27,Salem,152,974,92,1
2025-12-30,Salem,56,964,97,0
2025-01-01,Erode,30,1010,75,0
2025-01-04,Erode,146,987,67,0
2025-01-07,Erode,67,950,73,0
2025-01-10,Erode,122,963,73,0
2025-01-13,Erode,60,1008,99,0
2025-01-16,Erode,140,998,65,0
2025-01-19,Erode,48,1007,81,0
2025-01-22,Erode,133,995,57,0
2025-01-25,Erode,122,962,98,1
2025-01-28,Erode,67,1020,97,0
2025-01-31,Erode,124,956,93,1
2025-02-03,Erode,70,983,93,0
2025-02-06,Erode,56,979,86,0
2025-02-09,Erode,62,982,71,0
2025-02-12,Erode,82,966,60,0
2025-02-15,Erode,93,1017,59,0
2025-02-18,Erode,152,970,81,0
2025-02-21,Erode,138,952,98,1
2025-02-24,Erode,127,1014,91,0
2025-02-27,Erode,57,1008,79,0
2025-03-02,Erode,37,968,91,0
2025-03-05,Erode,96,975,56,0
2025-03-08,Erode,133,993,94,0
2025-03-11,Erode,77,1015,58,0
2025-03-14,Erode,125,1015,63,0
2025-03-17,Erode,116,1001,90,0
2025-03-20,Erode,65,966,98,0
2025-03-23,Erode,70,953,87,0
2025-03-26,Erode,71,964,100,0
2025-03-29,Erode,83,962,96,0
2025-04-01,Erode,61,995,94,0
2025-04-04,Erode,94,981,72,0
2025-04-07,Erode,54,971,80,0
2025-04-10,Erode,129,1020,60,0
2025-04-13,Erode,65,967,93,0
2025-04-16,Erode,49,994,73,0
2025-04-19,Erode,152,989,76,0
2025-04-22,Erode,53,996,95,0
2025-04-25,Erode,30,964,62,0
2025-04-28,Erode,130,971,59,0
2025-05-01,Erode,141,1003,72,0
2025-05-04,Erode,57,1000,70,0
2025-05-07,Erode,100,955,77,0
